task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
180	17/63cdec	143287	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (CD56_S4)	CACHED	0	2026-04-17 15:08:01.009	22.5s	19.2s	392.6%	105.4 MB	25.9 GB	322.2 MB	341.5 MB
175	b2/049f35	151761	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (CD19_S3)	CACHED	0	2026-04-17 15:10:49.683	25.6s	22.2s	388.9%	112.3 MB	25.9 GB	378.4 MB	402.4 MB
178	c9/dd9aa7	153084	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (CD4_S3)	CACHED	0	2026-04-17 15:11:16.621	25.3s	22.2s	395.7%	109.6 MB	25.9 GB	397.1 MB	422.6 MB
161	5f/2fdb20	148717	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (CD19_S2)	CACHED	0	2026-04-17 15:09:49.421	25.6s	22.6s	399.9%	118.8 MB	25.9 GB	394.6 MB	420.7 MB
170	5c/ee08b4	158834	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (CD14_S4)	CACHED	0	2026-04-17 15:13:09.404	26.6s	23.9s	433.4%	118.2 MB	26.1 GB	398.4 MB	425.9 MB
160	bf/bb10af	157286	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (CD56_S1)	CACHED	0	2026-04-17 15:12:37.235	31.4s	28s	417.4%	122.8 MB	25.9 GB	485.6 MB	519.7 MB
174	c1/16346e	160249	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (CD19_S4)	CACHED	0	2026-04-17 15:13:36.467	21.5s	18.4s	364.8%	106.4 MB	26 GB	312.3 MB	331.2 MB
176	ba/3ce200	141988	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (CD56_S3)	CACHED	0	2026-04-17 15:07:39.905	20.2s	17.8s	418.5%	106 MB	25.9 GB	311.9 MB	329.8 MB
177	32/c41365	144488	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (CD14_S3)	CACHED	0	2026-04-17 15:08:24.137	26.9s	23.6s	452.7%	121.3 MB	26 GB	409.7 MB	435.1 MB
168	8e/dd52c9	168131	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_SEQCLUSTER (CD4_S4)	CACHED	0	2026-04-17 15:18:19.868	25.6s	21.1s	384.3%	119.5 MB	26 GB	321.2 MB	341.3 MB
159	57/2103ca	177110	NFCORE_SMRNASEQ:MIRNA_QUANT:BOWTIE_MAP_HAIRPIN (CD4_S4_mature_hairpin)	CACHED	0	2026-04-17 15:22:42.779	3m 30s	3m 27s	679.7%	143.6 MB	26.1 GB	8.6 GB	9.1 GB
206	fb/f682a3	314632	NFCORE_SMRNASEQ:MIRTRACE_QC (CD19_S4)	CACHED	0	2026-04-07 18:14:33.572	1m 5s	1m 2s	99.0%	723.1 MB	195.3 GB	869.1 MB	68.9 MB
204	c6/9ad107	334601	NFCORE_SMRNASEQ:MIRTRACE_QC (CD19_S2)	CACHED	0	2026-04-07 18:25:13.338	1m 13s	1m 10s	98.8%	886.3 MB	195.3 GB	954.5 MB	87.3 MB
200	d7/1cc119	336859	NFCORE_SMRNASEQ:MIRTRACE_QC (CD14_S2)	CACHED	0	2026-04-07 18:26:26.640	1m 14s	1m 11s	98.0%	895 MB	195.3 GB	973.9 MB	105.3 MB
