miRNA	CD56_S4	CD14_S2	CD4_S4	CD14_S1	CD56_S1	CD19_S4	CD19_S3	CD19_S1	CD4_S3	CD14_S4	CD56_S3	CD56_S2	CD4_S1	CD19_S2	CD4_S2	CD14_S3
hsa-miR-146b-5p	796977	87277	415916	52044	854596	116130	252343	36880	621460	125895	768669	1037888	741369	90612	692560	197642
hsa-miR-3140-5p	0	0	1	0	6	1	0	2	0	1	1	3	0	0	0	1
hsa-miR-6720-3p	5	7	3	2	1	0	11	5	7	4	7	1	2	0	3	5
hsa-miR-346	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1
hsa-miR-370-3p	26	52	27	58	62	45	16	14	0	190	74	63	58	9	1	48
hsa-miR-1976	2	8	12	7	13	2	3	5	1	18	4	12	4	5	3	11
hsa-miR-4297	1	4	1	3	0	1	1	0	1	0	0	0	0	0	0	3
hsa-miR-3691-3p	0	7	2	4	0	0	0	0	0	4	1	1	0	1	0	4
hsa-miR-4722-3p	0	0	0	2	1	1	0	0	2	1	0	0	0	1	0	2
hsa-miR-4677-3p	94	214	68	316	99	32	102	87	68	288	61	117	73	44	60	371
hsa-miR-146b-3p	7276	599	3619	267	8644	1192	1780	316	3793	1695	6705	8452	5771	604	4022	1791
hsa-miR-4329	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0
hsa-miR-10a-5p	8779	548	594	365	4368	475	2301	305	4776	596	4217	6272	4385	373	2847	1186
hsa-miR-6775-5p	0	5	1	4	3	0	3	2	2	3	3	3	2	5	2	1
hsa-miR-134-3p	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-26b-3p	177	1205	279	870	411	59	115	146	71	1330	267	424	117	114	46	1448
hsa-miR-532-5p	1215	7607	1844	6645	1315	638	1303	947	691	8594	1250	2317	1152	679	699	10191
hsa-miR-6817-3p	6	10	1	7	4	0	1	1	2	6	3	2	3	0	3	10
hsa-miR-3922-3p	0	2	0	4	3	0	0	2	0	0	0	0	1	0	1	0
hsa-miR-4448	95	52	46	62	90	123	89	78	22	78	90	92	41	55	35	68
hsa-miR-6780b-3p	1	1	0	0	5	0	2	1	1	1	0	2	1	2	0	2
hsa-miR-4493	1	0	0	0	2	2	0	1	1	0	6	2	0	1	0	0
hsa-miR-455-5p	3	8	5	2	1	0	8	16	14	0	3	22	1	17	39	7
hsa-miR-10226	0	3	0	2	2	0	0	3	3	4	2	1	3	0	3	4
hsa-miR-6866-3p	4	6	5	5	6	2	9	5	8	6	8	14	3	9	9	10
hsa-miR-132-5p	126	59	35	36	159	14	43	14	48	66	205	244	57	27	53	85
hsa-miR-517-5p	0	1	0	1	0	0	1	1	2	0	0	2	0	0	0	0
hsa-miR-4713-3p	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	1
hsa-miR-9-3p	22	47	6	40	21	1	8	10	4	40	19	26	4	6	2	53
hsa-miR-5571-3p	0	3	0	3	1	1	3	5	1	2	0	0	0	0	0	2
hsa-miR-4480	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-590-3p	2038	834	554	720	1503	999	4408	2832	4878	1011	1607	2054	1954	3243	4736	836
hsa-miR-483-3p	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0
hsa-miR-1229-3p	0	1	0	4	1	1	1	0	0	3	0	4	1	1	0	2
hsa-miR-3620-3p	1	1	0	0	1	0	1	0	0	1	0	0	1	0	0	0
