sample	raw_reads	passed_fastp	failed_fastp	mature_miRNA_mapped	hairpin_miRNA_mapped	RNAcentral_matched	candidate_shortRNA	mature_hairpin_unmapped	not_tRNA	tRNA_matched	cell_type	replicate
hsa-mir-3920					2096.0						hsa-mir-3920	
hsa-mir-3921					3846.0						hsa-mir-3921	
hsa-mir-3922					1033.0						hsa-mir-3922	
hsa-mir-3923					543.0						hsa-mir-3923	
hsa-mir-3924					145.0						hsa-mir-3924	
hsa-mir-3925					1021.0						hsa-mir-3925	
hsa-mir-3926-1					1904.0						hsa-mir-3926-1	
hsa-mir-3926-2					1685.0						hsa-mir-3926-2	
hsa-mir-3927					300.0						hsa-mir-3927	
hsa-mir-3928					1218.0						hsa-mir-3928	
hsa-mir-3929					7287.0						hsa-mir-3929	
hsa-mir-3934					2871.0						hsa-mir-3934	
hsa-mir-3935					1338.0						hsa-mir-3935	
hsa-mir-3936					1375.0						hsa-mir-3936	
hsa-mir-3937					1553.0						hsa-mir-3937	
hsa-mir-3938					525.0						hsa-mir-3938	
hsa-mir-3939					1389.0						hsa-mir-3939	
hsa-mir-3940					3620.0						hsa-mir-3940	
hsa-mir-3941					2323.0						hsa-mir-3941	
hsa-mir-3942					395.0						hsa-mir-3942	
hsa-mir-3943					7114.0						hsa-mir-3943	
hsa-mir-3944					2143.0						hsa-mir-3944	
hsa-mir-3945					1174.0						hsa-mir-3945	
hsa-mir-3960					16810.0						hsa-mir-3960	
hsa-mir-3972					1704.0						hsa-mir-3972	
hsa-mir-3973					783.0						hsa-mir-3973	
hsa-mir-3974					794.0						hsa-mir-3974	
hsa-mir-3975					1214.0						hsa-mir-3975	
hsa-mir-3976					1420.0						hsa-mir-3976	
hsa-mir-3977					206.0						hsa-mir-3977	
hsa-mir-3978					6288.0						hsa-mir-3978	
hsa-mir-409					870.0						hsa-mir-409	
hsa-mir-410					513.0						hsa-mir-410	
hsa-mir-411					43522.0						hsa-mir-411	
hsa-mir-412					8162.0						hsa-mir-412	
hsa-mir-421					1313.0						hsa-mir-421	
hsa-mir-422a					2532.0						hsa-mir-422a	
hsa-mir-423					6416.0						hsa-mir-423	
hsa-mir-424					1473.0						hsa-mir-424	
hsa-mir-425					18156.0						hsa-mir-425	
hsa-mir-4251					1055.0						hsa-mir-4251	
hsa-mir-4252					6764.0						hsa-mir-4252	
hsa-mir-4253					803.0						hsa-mir-4253	
hsa-mir-4254					3498.0						hsa-mir-4254	
hsa-mir-4255					759.0						hsa-mir-4255	
hsa-mir-4256					795.0						hsa-mir-4256	
hsa-mir-4257					2762.0						hsa-mir-4257	
hsa-mir-4258					4719.0						hsa-mir-4258	
hsa-mir-4259					3209.0						hsa-mir-4259	
hsa-mir-4260					2388.0						hsa-mir-4260	
hsa-mir-4261					3068.0						hsa-mir-4261	
hsa-mir-4262					2199.0						hsa-mir-4262	
hsa-mir-4263					983.0						hsa-mir-4263	
hsa-mir-4264					935.0						hsa-mir-4264	
hsa-mir-4265					4077.0						hsa-mir-4265	
hsa-mir-4266					1035.0						hsa-mir-4266	
hsa-mir-4267					3644.0						hsa-mir-4267	
hsa-mir-4268					535.0						hsa-mir-4268	
hsa-mir-4269					7234.0						hsa-mir-4269	
hsa-mir-4270					1073.0						hsa-mir-4270	
hsa-mir-4271					1597.0						hsa-mir-4271	
hsa-mir-4272					471.0						hsa-mir-4272	
hsa-mir-4273					31103.0						hsa-mir-4273	
hsa-mir-4274					2111.0						hsa-mir-4274	
hsa-mir-4275					1029.0						hsa-mir-4275	
hsa-mir-4276					639.0						hsa-mir-4276	
hsa-mir-4277					1873.0						hsa-mir-4277	
hsa-mir-4278					317.0						hsa-mir-4278	
hsa-mir-4279					2520.0						hsa-mir-4279	
hsa-mir-4280					1099.0						hsa-mir-4280	
hsa-mir-4281					3058.0						hsa-mir-4281	
hsa-mir-4282					398.0						hsa-mir-4282	
hsa-mir-4283-1					1442.0						hsa-mir-4283-1	
hsa-mir-4283-2					1442.0						hsa-mir-4283-2	
hsa-mir-4284					2732.0						hsa-mir-4284	
hsa-mir-4285					2779.0						hsa-mir-4285	
hsa-mir-4286					58878.0						hsa-mir-4286	
hsa-mir-4287					2434.0						hsa-mir-4287	
hsa-mir-4288					3205.0						hsa-mir-4288	
hsa-mir-4289					1259.0						hsa-mir-4289	
hsa-mir-429					1061.0						hsa-mir-429	
hsa-mir-4290					1445.0						hsa-mir-4290	
hsa-mir-4291					3259.0						hsa-mir-4291	
hsa-mir-4292					1305.0						hsa-mir-4292	
hsa-mir-4293					4668.0						hsa-mir-4293	
hsa-mir-4294					1494.0						hsa-mir-4294	
hsa-mir-4295					871.0						hsa-mir-4295	
hsa-mir-4296					3516.0						hsa-mir-4296	
hsa-mir-4297					1446.0						hsa-mir-4297	
hsa-mir-4298					1866.0						hsa-mir-4298	
hsa-mir-4299					879.0						hsa-mir-4299	
hsa-mir-4300					3926.0						hsa-mir-4300	
hsa-mir-4301					2351.0						hsa-mir-4301	
hsa-mir-4302					774.0						hsa-mir-4302	
hsa-mir-4303					1086.0						hsa-mir-4303	
hsa-mir-4304					1273.0						hsa-mir-4304	
hsa-mir-4305					18457.0						hsa-mir-4305	
hsa-mir-4306					3327.0						hsa-mir-4306	
hsa-mir-4307					407.0						hsa-mir-4307	
hsa-mir-4308					462.0						hsa-mir-4308	
hsa-mir-4309					1339.0						hsa-mir-4309	
hsa-mir-431					2182.0						hsa-mir-431	
hsa-mir-4310					1996.0						hsa-mir-4310	
hsa-mir-4311					5978.0						hsa-mir-4311	
hsa-mir-4312					2090.0						hsa-mir-4312	
hsa-mir-4313					6305.0						hsa-mir-4313	
hsa-mir-4314					2393.0						hsa-mir-4314	
hsa-mir-4315-1					1381.0						hsa-mir-4315-1	
hsa-mir-4315-2					1381.0						hsa-mir-4315-2	
hsa-mir-4316					3551.0						hsa-mir-4316	
hsa-mir-4317					283.0						hsa-mir-4317	
hsa-mir-4318					1303.0						hsa-mir-4318	
hsa-mir-4319					1373.0						hsa-mir-4319	
hsa-mir-432					8535.0						hsa-mir-432	
hsa-mir-4320					3381.0						hsa-mir-4320	
hsa-mir-4321					4347.0						hsa-mir-4321	
hsa-mir-4322					6612.0						hsa-mir-4322	
hsa-mir-4323					2624.0						hsa-mir-4323	
hsa-mir-4324					1911.0						hsa-mir-4324	
hsa-mir-4325					1994.0						hsa-mir-4325	
hsa-mir-4326					2968.0						hsa-mir-4326	
hsa-mir-4327					1787.0						hsa-mir-4327	
hsa-mir-4328					375.0						hsa-mir-4328	
hsa-mir-4329					1368.0						hsa-mir-4329	
hsa-mir-433					1317.0						hsa-mir-433	
hsa-mir-4330					2177.0						hsa-mir-4330	
hsa-mir-4418					1131.0						hsa-mir-4418	
hsa-mir-4420					2064.0						hsa-mir-4420	
hsa-mir-4421					747.0						hsa-mir-4421	
hsa-mir-4422					1363.0						hsa-mir-4422	
hsa-mir-4423					387.0						hsa-mir-4423	
hsa-mir-4424					1547.0						hsa-mir-4424	
hsa-mir-4425					592.0						hsa-mir-4425	
hsa-mir-4426					2516.0						hsa-mir-4426	
hsa-mir-4427					394.0						hsa-mir-4427	
hsa-mir-4428					929.0						hsa-mir-4428	
hsa-mir-4429					5399.0						hsa-mir-4429	
hsa-mir-4430					14603.0						hsa-mir-4430	
hsa-mir-4431					4230.0						hsa-mir-4431	
hsa-mir-4432					634.0						hsa-mir-4432	
hsa-mir-4433a					2386.0						hsa-mir-4433a	
hsa-mir-4433b					3327.0						hsa-mir-4433b	
hsa-mir-4434					483.0						hsa-mir-4434	
hsa-mir-4435-1					1131.0						hsa-mir-4435-1	
hsa-mir-4435-2					1112.0						hsa-mir-4435-2	
hsa-mir-4436a					1054.0						hsa-mir-4436a	
hsa-mir-4436b-1					2416.0						hsa-mir-4436b-1	
hsa-mir-4436b-2					2416.0						hsa-mir-4436b-2	
hsa-mir-4437					1645.0						hsa-mir-4437	
hsa-mir-4438					391.0						hsa-mir-4438	
hsa-mir-4439					1257.0						hsa-mir-4439	
hsa-mir-4440					1283.0						hsa-mir-4440	
hsa-mir-4441					1138.0						hsa-mir-4441	
hsa-mir-4442					2162.0						hsa-mir-4442	
hsa-mir-4443					20619.0						hsa-mir-4443	
hsa-mir-4444-1					3185.0						hsa-mir-4444-1	
hsa-mir-4444-2					3185.0						hsa-mir-4444-2	
hsa-mir-4445					155.0						hsa-mir-4445	
hsa-mir-4446					710.0						hsa-mir-4446	
hsa-mir-4447					1271.0						hsa-mir-4447	
hsa-mir-4448					1310.0						hsa-mir-4448	
hsa-mir-4449					3667.0						hsa-mir-4449	
hsa-mir-4450					1788.0						hsa-mir-4450	
hsa-mir-4451					1442.0						hsa-mir-4451	
hsa-mir-4452					1877.0						hsa-mir-4452	
hsa-mir-4453					21205.0						hsa-mir-4453	
hsa-mir-4454					791.0						hsa-mir-4454	
hsa-mir-4455					846.0						hsa-mir-4455	
hsa-mir-4456					662.0						hsa-mir-4456	
hsa-mir-4457					817.0						hsa-mir-4457	
hsa-mir-4458					637.0						hsa-mir-4458	
hsa-mir-4460					752.0						hsa-mir-4460	
hsa-mir-4462					989.0						hsa-mir-4462	
hsa-mir-4463					2975.0						hsa-mir-4463	
hsa-mir-4464					823.0						hsa-mir-4464	
hsa-mir-4465					346.0						hsa-mir-4465	
hsa-mir-4466					3405.0						hsa-mir-4466	
hsa-mir-4467					1708.0						hsa-mir-4467	
hsa-mir-4468					3450.0						hsa-mir-4468	
hsa-mir-4469					3311.0						hsa-mir-4469	
hsa-mir-4470					891.0						hsa-mir-4470	
hsa-mir-4471					430.0						hsa-mir-4471	
hsa-mir-4472-1					4091.0						hsa-mir-4472-1	
hsa-mir-4472-2					5826.0						hsa-mir-4472-2	
hsa-mir-4473					642.0						hsa-mir-4473	
hsa-mir-4474					11890.0						hsa-mir-4474	
hsa-mir-4475					218.0						hsa-mir-4475	
hsa-mir-4476					2769.0						hsa-mir-4476	
hsa-mir-4477a					1493.0						hsa-mir-4477a	
hsa-mir-4477b					1493.0						hsa-mir-4477b	
hsa-mir-4478					5436.0						hsa-mir-4478	
hsa-mir-4479					3377.0						hsa-mir-4479	
hsa-mir-448					2771.0						hsa-mir-448	
hsa-mir-4480					901.0						hsa-mir-4480	
hsa-mir-4481					915.0						hsa-mir-4481	
hsa-mir-4482					434.0						hsa-mir-4482	
hsa-mir-4483					247.0						hsa-mir-4483	
hsa-mir-4484					1851.0						hsa-mir-4484	
hsa-mir-4485					2177.0						hsa-mir-4485	
hsa-mir-4486					796.0						hsa-mir-4486	
hsa-mir-4487					3147.0						hsa-mir-4487	
hsa-mir-4488					7385.0						hsa-mir-4488	
hsa-mir-4489					2903.0						hsa-mir-4489	
hsa-mir-4490					1004.0						hsa-mir-4490	
hsa-mir-4491					983.0						hsa-mir-4491	
hsa-mir-4492					2955.0						hsa-mir-4492	
hsa-mir-4493					477.0						hsa-mir-4493	
hsa-mir-4494					1486.0						hsa-mir-4494	
hsa-mir-4495					406.0						hsa-mir-4495	
hsa-mir-4496					686.0						hsa-mir-4496	
hsa-mir-4497					5111.0						hsa-mir-4497	
hsa-mir-4498					864.0						hsa-mir-4498	
hsa-mir-4499					1524.0						hsa-mir-4499	
hsa-mir-449a					3410.0						hsa-mir-449a	
hsa-mir-449b					2183.0						hsa-mir-449b	
hsa-mir-449c					1096.0						hsa-mir-449c	
hsa-mir-4500					771.0						hsa-mir-4500	
hsa-mir-4501					1456.0						hsa-mir-4501	
hsa-mir-4502					1416.0						hsa-mir-4502	
hsa-mir-4503					178.0						hsa-mir-4503	
hsa-mir-4504					1002.0						hsa-mir-4504	
hsa-mir-4505					3563.0						hsa-mir-4505	
hsa-mir-4506					4303.0						hsa-mir-4506	
hsa-mir-4507					865.0						hsa-mir-4507	
hsa-mir-4508					7931.0						hsa-mir-4508	
hsa-mir-4509-1					565.0						hsa-mir-4509-1	
hsa-mir-4509-2					565.0						hsa-mir-4509-2	
hsa-mir-4509-3					565.0						hsa-mir-4509-3	
hsa-mir-450a-1					910.0						hsa-mir-450a-1	
hsa-mir-450a-2					193.0						hsa-mir-450a-2	
hsa-mir-450b					130.0						hsa-mir-450b	
hsa-mir-4510					738.0						hsa-mir-4510	
hsa-mir-4511					1305.0						hsa-mir-4511	
hsa-mir-4512					9453.0						hsa-mir-4512	
hsa-mir-4513					1136.0						hsa-mir-4513	
hsa-mir-4514					363.0						hsa-mir-4514	
hsa-mir-4515					3043.0						hsa-mir-4515	
hsa-mir-4516					4801.0						hsa-mir-4516	
hsa-mir-4517					1113.0						hsa-mir-4517	
hsa-mir-4518					4390.0						hsa-mir-4518	
hsa-mir-4519					2108.0						hsa-mir-4519	
hsa-mir-451a					327.0						hsa-mir-451a	
hsa-mir-451b					287.0						hsa-mir-451b	
hsa-mir-452					3142.0						hsa-mir-452	
hsa-mir-4520-1					418.0						hsa-mir-4520-1	
hsa-mir-4520-2					219.0						hsa-mir-4520-2	
hsa-mir-4521					2555.0						hsa-mir-4521	
hsa-mir-4522					2846.0						hsa-mir-4522	
hsa-mir-4523					2682.0						hsa-mir-4523	
hsa-mir-4524a					657.0						hsa-mir-4524a	
hsa-mir-4524b					1205.0						hsa-mir-4524b	
hsa-mir-4525					1398.0						hsa-mir-4525	
hsa-mir-4526					2757.0						hsa-mir-4526	
hsa-mir-4527					2298.0						hsa-mir-4527	
hsa-mir-4528					626.0						hsa-mir-4528	
hsa-mir-4529					499.0						hsa-mir-4529	
hsa-mir-4530					3256.0						hsa-mir-4530	
hsa-mir-4531					863.0						hsa-mir-4531	
hsa-mir-4533					2027.0						hsa-mir-4533	
hsa-mir-4534					1172.0						hsa-mir-4534	
hsa-mir-4535					3969.0						hsa-mir-4535	
hsa-mir-4536-1					465.0						hsa-mir-4536-1	
hsa-mir-4536-2					465.0						hsa-mir-4536-2	
hsa-mir-4537					4739.0						hsa-mir-4537	
hsa-mir-4538					2318.0						hsa-mir-4538	
hsa-mir-4539					1661.0						hsa-mir-4539	
hsa-mir-454					872.0						hsa-mir-454	
hsa-mir-4540					894.0						hsa-mir-4540	
hsa-mir-455					834.0						hsa-mir-455	
hsa-mir-4632					1239.0						hsa-mir-4632	
hsa-mir-4633					718.0						hsa-mir-4633	
hsa-mir-4634					1814.0						hsa-mir-4634	
hsa-mir-4635					1737.0						hsa-mir-4635	
hsa-mir-4636					786.0						hsa-mir-4636	
hsa-mir-4637					13798.0						hsa-mir-4637	
hsa-mir-4638					2396.0						hsa-mir-4638	
hsa-mir-4639					363.0						hsa-mir-4639	
hsa-mir-4640					2618.0						hsa-mir-4640	
hsa-mir-4641					6649.0						hsa-mir-4641	
hsa-mir-4642					1934.0						hsa-mir-4642	
hsa-mir-4643					1526.0						hsa-mir-4643	
hsa-mir-4644					2804.0						hsa-mir-4644	
hsa-mir-4645					1116.0						hsa-mir-4645	
hsa-mir-4646					946.0						hsa-mir-4646	
hsa-mir-4647					6032.0						hsa-mir-4647	
hsa-mir-4648					2146.0						hsa-mir-4648	
hsa-mir-4649					19812.0						hsa-mir-4649	
hsa-mir-4650-1					1076.0						hsa-mir-4650-1	
hsa-mir-4650-2					1076.0						hsa-mir-4650-2	
hsa-mir-4651					3461.0						hsa-mir-4651	
hsa-mir-4652					15121.0						hsa-mir-4652	
hsa-mir-4653					2566.0						hsa-mir-4653	
hsa-mir-4654					2634.0						hsa-mir-4654	
hsa-mir-4655					994.0						hsa-mir-4655	
hsa-mir-4656					3854.0						hsa-mir-4656	
hsa-mir-4657					119.0						hsa-mir-4657	
hsa-mir-4658					1326.0						hsa-mir-4658	
hsa-mir-4659a					526.0						hsa-mir-4659a	
hsa-mir-4659b					310.0						hsa-mir-4659b	
hsa-mir-466					398.0						hsa-mir-466	
hsa-mir-4660					2203.0						hsa-mir-4660	
hsa-mir-4661					938.0						hsa-mir-4661	
hsa-mir-4662a					2430.0						hsa-mir-4662a	
hsa-mir-4662b					2456.0						hsa-mir-4662b	
hsa-mir-4663					1429.0						hsa-mir-4663	
hsa-mir-4664					2451.0						hsa-mir-4664	
hsa-mir-4665					3822.0						hsa-mir-4665	
hsa-mir-4666a					685.0						hsa-mir-4666a	
hsa-mir-4666b					853.0						hsa-mir-4666b	
hsa-mir-4667					16028.0						hsa-mir-4667	
hsa-mir-4668					286.0						hsa-mir-4668	
hsa-mir-4669					1374.0						hsa-mir-4669	
hsa-mir-4670					1199.0						hsa-mir-4670	
hsa-mir-4671					840.0						hsa-mir-4671	
hsa-mir-4672					1096.0						hsa-mir-4672	
hsa-mir-4673					1983.0						hsa-mir-4673	
hsa-mir-4674					6128.0						hsa-mir-4674	
hsa-mir-4675					1205.0						hsa-mir-4675	
hsa-mir-4676					374.0						hsa-mir-4676	
hsa-mir-4677					679.0						hsa-mir-4677	
hsa-mir-4678					2173.0						hsa-mir-4678	
hsa-mir-4679-1					377.0						hsa-mir-4679-1	
hsa-mir-4679-2					384.0						hsa-mir-4679-2	
hsa-mir-4680					114.0						hsa-mir-4680	
hsa-mir-4681					1077.0						hsa-mir-4681	
hsa-mir-4682					8506.0						hsa-mir-4682	
hsa-mir-4683					5745.0						hsa-mir-4683	
hsa-mir-4684					341.0						hsa-mir-4684	
hsa-mir-4685					1079.0						hsa-mir-4685	
hsa-mir-4686					1730.0						hsa-mir-4686	
hsa-mir-4687					1825.0						hsa-mir-4687	
hsa-mir-4688					1384.0						hsa-mir-4688	
hsa-mir-4689					2390.0						hsa-mir-4689	
hsa-mir-4690					974.0						hsa-mir-4690	
hsa-mir-4691					2029.0						hsa-mir-4691	
hsa-mir-4692					1953.0						hsa-mir-4692	
hsa-mir-4693					376.0						hsa-mir-4693	
hsa-mir-4694					333.0						hsa-mir-4694	
hsa-mir-4695					1213.0						hsa-mir-4695	
hsa-mir-4696					690.0						hsa-mir-4696	
hsa-mir-4697					1073.0						hsa-mir-4697	
hsa-mir-4698					1567.0						hsa-mir-4698	
hsa-mir-4699					396.0						hsa-mir-4699	
hsa-mir-4700					4704.0						hsa-mir-4700	
hsa-mir-4701					592.0						hsa-mir-4701	
hsa-mir-4703					185.0						hsa-mir-4703	
hsa-mir-4704					2319.0						hsa-mir-4704	
hsa-mir-4705					31695.0						hsa-mir-4705	
hsa-mir-4706					2981.0						hsa-mir-4706	
hsa-mir-4707					3322.0						hsa-mir-4707	
hsa-mir-4708					469.0						hsa-mir-4708	
hsa-mir-4709					781.0						hsa-mir-4709	
hsa-mir-4710					1944.0						hsa-mir-4710	
hsa-mir-4711					461.0						hsa-mir-4711	
hsa-mir-4712					415.0						hsa-mir-4712	
hsa-mir-4713					585.0						hsa-mir-4713	
hsa-mir-4714					652.0						hsa-mir-4714	
hsa-mir-4715					448.0						hsa-mir-4715	
hsa-mir-4716					976.0						hsa-mir-4716	
hsa-mir-4717					344.0						hsa-mir-4717	
hsa-mir-4718					245.0						hsa-mir-4718	
hsa-mir-4719					510.0						hsa-mir-4719	
hsa-mir-4720					523.0						hsa-mir-4720	
hsa-mir-4721					1339.0						hsa-mir-4721	
hsa-mir-4722					1163.0						hsa-mir-4722	
hsa-mir-4723					1837.0						hsa-mir-4723	
hsa-mir-4724					681.0						hsa-mir-4724	
hsa-mir-4725					2701.0						hsa-mir-4725	
hsa-mir-4726					722.0						hsa-mir-4726	
hsa-mir-4727					460.0						hsa-mir-4727	
hsa-mir-4728					745.0						hsa-mir-4728	
hsa-mir-4729					493.0						hsa-mir-4729	
hsa-mir-4730					2357.0						hsa-mir-4730	
hsa-mir-4731					1047.0						hsa-mir-4731	
hsa-mir-4732					1655.0						hsa-mir-4732	
hsa-mir-4733					427.0						hsa-mir-4733	
hsa-mir-4734					6590.0						hsa-mir-4734	
hsa-mir-4735					199.0						hsa-mir-4735	
hsa-mir-4736					1253.0						hsa-mir-4736	
hsa-mir-4737					3268.0						hsa-mir-4737	
hsa-mir-4738					1226.0						hsa-mir-4738	
hsa-mir-4739					3687.0						hsa-mir-4739	
hsa-mir-4740					1458.0						hsa-mir-4740	
hsa-mir-4741					4662.0						hsa-mir-4741	
hsa-mir-4742					369.0						hsa-mir-4742	
hsa-mir-4743					437.0						hsa-mir-4743	
hsa-mir-4744					463.0						hsa-mir-4744	
hsa-mir-4745					13614.0						hsa-mir-4745	
hsa-mir-4746					1148.0						hsa-mir-4746	
hsa-mir-4747					287.0						hsa-mir-4747	
hsa-mir-4748					1882.0						hsa-mir-4748	
hsa-mir-4749					925.0						hsa-mir-4749	
hsa-mir-4750					736.0						hsa-mir-4750	
hsa-mir-4751					2281.0						hsa-mir-4751	
hsa-mir-4752					891.0						hsa-mir-4752	
hsa-mir-4753					424.0						hsa-mir-4753	
hsa-mir-4754					44105.0						hsa-mir-4754	
hsa-mir-4755					507.0						hsa-mir-4755	
hsa-mir-4756					771.0						hsa-mir-4756	
hsa-mir-4757					1723.0						hsa-mir-4757	
hsa-mir-4758					1268.0						hsa-mir-4758	
hsa-mir-4759					623.0						hsa-mir-4759	
hsa-mir-4760					20814.0						hsa-mir-4760	
hsa-mir-4761					2489.0						hsa-mir-4761	
hsa-mir-4762					8257.0						hsa-mir-4762	
hsa-mir-4763					4357.0						hsa-mir-4763	
hsa-mir-4764					934.0						hsa-mir-4764	
hsa-mir-4765					8267.0						hsa-mir-4765	
hsa-mir-4766					1300.0						hsa-mir-4766	
hsa-mir-4767					4172.0						hsa-mir-4767	
hsa-mir-4768					749.0						hsa-mir-4768	
hsa-mir-4769					3747.0						hsa-mir-4769	
hsa-mir-4770					332.0						hsa-mir-4770	
hsa-mir-4771-1					532.0						hsa-mir-4771-1	
hsa-mir-4771-2					532.0						hsa-mir-4771-2	
hsa-mir-4772					1545.0						hsa-mir-4772	
hsa-mir-4773-1					14975.0						hsa-mir-4773-1	
hsa-mir-4773-2					14975.0						hsa-mir-4773-2	
hsa-mir-4774					801.0						hsa-mir-4774	
hsa-mir-4775					530.0						hsa-mir-4775	
hsa-mir-4776-1					997.0						hsa-mir-4776-1	
hsa-mir-4776-2					997.0						hsa-mir-4776-2	
hsa-mir-4777					221.0						hsa-mir-4777	
hsa-mir-4778					691.0						hsa-mir-4778	
hsa-mir-4779					514.0						hsa-mir-4779	
hsa-mir-4780					3714.0						hsa-mir-4780	
hsa-mir-4781					615.0						hsa-mir-4781	
hsa-mir-4782					322.0						hsa-mir-4782	
hsa-mir-4783					1927.0						hsa-mir-4783	
hsa-mir-4784					9119.0						hsa-mir-4784	
hsa-mir-4785					45847.0						hsa-mir-4785	
hsa-mir-4786					1495.0						hsa-mir-4786	
hsa-mir-4787					2675.0						hsa-mir-4787	
hsa-mir-4788					420.0						hsa-mir-4788	
hsa-mir-4789					228.0						hsa-mir-4789	
hsa-mir-4790					184.0						hsa-mir-4790	
hsa-mir-4791					626.0						hsa-mir-4791	
hsa-mir-4793					3163.0						hsa-mir-4793	
hsa-mir-4794					565.0						hsa-mir-4794	
hsa-mir-4795					114.0						hsa-mir-4795	
hsa-mir-4796					516.0						hsa-mir-4796	
hsa-mir-4797					1596.0						hsa-mir-4797	
hsa-mir-4798					201.0						hsa-mir-4798	
hsa-mir-4799					797.0						hsa-mir-4799	
hsa-mir-4800					3261.0						hsa-mir-4800	
hsa-mir-4801					162.0						hsa-mir-4801	
hsa-mir-4802					828.0						hsa-mir-4802	
hsa-mir-4803					381.0						hsa-mir-4803	
hsa-mir-4804					207.0						hsa-mir-4804	
hsa-mir-483					2395.0						hsa-mir-483	
hsa-mir-484					1503.0						hsa-mir-484	
hsa-mir-485					942.0						hsa-mir-485	
hsa-mir-486-1					1460.0						hsa-mir-486-1	
hsa-mir-486-2					1273.0						hsa-mir-486-2	
hsa-mir-487a					2009.0						hsa-mir-487a	
hsa-mir-487b					1137.0						hsa-mir-487b	
hsa-mir-488					1890.0						hsa-mir-488	
hsa-mir-489					385.0						hsa-mir-489	
hsa-mir-490					1393.0						hsa-mir-490	
hsa-mir-491					4556.0						hsa-mir-491	
hsa-mir-492					3724.0						hsa-mir-492	
hsa-mir-493					867.0						hsa-mir-493	
hsa-mir-494					347.0						hsa-mir-494	
hsa-mir-495					268.0						hsa-mir-495	
hsa-mir-496					971.0						hsa-mir-496	
hsa-mir-497					5575.0						hsa-mir-497	
hsa-mir-498					1811.0						hsa-mir-498	
hsa-mir-4999					364.0						hsa-mir-4999	
hsa-mir-499a					2945.0						hsa-mir-499a	
hsa-mir-499b					735.0						hsa-mir-499b	
hsa-mir-5000					807.0						hsa-mir-5000	
hsa-mir-5001					13051.0						hsa-mir-5001	
hsa-mir-5002					1232.0						hsa-mir-5002	
hsa-mir-5003					2732.0						hsa-mir-5003	
hsa-mir-5004					6212.0						hsa-mir-5004	
hsa-mir-5006					2395.0						hsa-mir-5006	
hsa-mir-5007					617.0						hsa-mir-5007	
hsa-mir-5008					1660.0						hsa-mir-5008	
hsa-mir-5009					1535.0						hsa-mir-5009	
hsa-mir-500a					1697.0						hsa-mir-500a	
hsa-mir-500b					856.0						hsa-mir-500b	
hsa-mir-501					790.0						hsa-mir-501	
hsa-mir-5010					3339.0						hsa-mir-5010	
hsa-mir-5011					725.0						hsa-mir-5011	
hsa-mir-502					850.0						hsa-mir-502	
hsa-mir-503					2864.0						hsa-mir-503	
hsa-mir-504					2217.0						hsa-mir-504	
hsa-mir-5047					751.0						hsa-mir-5047	
hsa-mir-505					2439.0						hsa-mir-505	
hsa-mir-506					844.0						hsa-mir-506	
hsa-mir-507					271.0						hsa-mir-507	
hsa-mir-508					640.0						hsa-mir-508	
hsa-mir-5087					623.0						hsa-mir-5087	
hsa-mir-5088					2438.0						hsa-mir-5088	
hsa-mir-5089					982.0						hsa-mir-5089	
hsa-mir-509-1					771.0						hsa-mir-509-1	
hsa-mir-509-2					737.0						hsa-mir-509-2	
hsa-mir-509-3					485.0						hsa-mir-509-3	
hsa-mir-5090					3415.0						hsa-mir-5090	
hsa-mir-5091					8759.0						hsa-mir-5091	
hsa-mir-5092					1936.0						hsa-mir-5092	
hsa-mir-5093					3587.0						hsa-mir-5093	
hsa-mir-5094					9030.0						hsa-mir-5094	
hsa-mir-510					400.0						hsa-mir-510	
hsa-mir-5100					6166.0						hsa-mir-5100	
hsa-mir-511					553.0						hsa-mir-511	
hsa-mir-512-1					2579.0						hsa-mir-512-1	
hsa-mir-512-2					3215.0						hsa-mir-512-2	
hsa-mir-513a-1					791.0						hsa-mir-513a-1	
hsa-mir-513a-2					859.0						hsa-mir-513a-2	
hsa-mir-513b					273.0						hsa-mir-513b	
hsa-mir-513c					679.0						hsa-mir-513c	
hsa-mir-514a-1					1498.0						hsa-mir-514a-1	
hsa-mir-514a-2					1542.0						hsa-mir-514a-2	
hsa-mir-514a-3					1542.0						hsa-mir-514a-3	
hsa-mir-514b					442.0						hsa-mir-514b	
hsa-mir-515-1					446.0						hsa-mir-515-1	
hsa-mir-515-2					446.0						hsa-mir-515-2	
hsa-mir-516a-1					3278.0						hsa-mir-516a-1	
hsa-mir-516a-2					1369.0						hsa-mir-516a-2	
hsa-mir-516b-1					1393.0						hsa-mir-516b-1	
hsa-mir-516b-2					1029.0						hsa-mir-516b-2	
hsa-mir-517a					427.0						hsa-mir-517a	
hsa-mir-517b					245.0						hsa-mir-517b	
hsa-mir-517c					1362.0						hsa-mir-517c	
hsa-mir-5186					1661.0						hsa-mir-5186	
hsa-mir-5187					966.0						hsa-mir-5187	
hsa-mir-5188					1032.0						hsa-mir-5188	
hsa-mir-5189					4508.0						hsa-mir-5189	
hsa-mir-518a-1					1102.0						hsa-mir-518a-1	
hsa-mir-518a-2					440.0						hsa-mir-518a-2	
hsa-mir-518b					1333.0						hsa-mir-518b	
hsa-mir-518c					863.0						hsa-mir-518c	
hsa-mir-518d					467.0						hsa-mir-518d	
hsa-mir-518e					2785.0						hsa-mir-518e	
hsa-mir-518f					1636.0						hsa-mir-518f	
