sample	length	read_count
CD19_S3	56	23799
CD19_S3	57	72634
CD19_S3	58	69061
CD19_S3	59	90272
CD19_S3	60	285070
CD19_S3	61	191187
CD19_S3	62	1218482
CD19_S3	63	2229175
CD19_S3	64	447278
CD19_S3	65	457809
CD19_S3	66	374516
CD19_S3	67	360383
CD19_S3	68	1218994
CD19_S3	69	1094455
CD19_S3	70	473210
CD19_S3	71	165879
CD19_S3	72	1968901
CD19_S3	73	112641
CD19_S3	74	88470
CD19_S3	75	103273
CD19_S3	76	189982
CD19_S3	77	200724
CD19_S3	78	85506
CD19_S3	79	96881
CD19_S3	80	25760
CD19_S3	81	13903
CD19_S3	82	15271
CD19_S3	83	14809
CD19_S3	84	21854
CD19_S3	85	13885
CD19_S3	86	9685
CD19_S3	87	24487
CD19_S3	88	12650
CD19_S3	89	40379
CD19_S3	90	21567
CD19_S3	91	26543
CD19_S3	92	15022
CD19_S3	93	9412
CD19_S3	94	12399
CD19_S3	95	14319
CD19_S3	96	5780
CD19_S3	97	4101
CD19_S3	98	4335
CD19_S3	99	4084
CD19_S3	100	625894
CD19_S4	12	51
CD19_S4	13	3566
CD19_S4	14	19110
CD19_S4	15	47011
CD19_S4	16	77521
CD19_S4	17	106284
CD19_S4	18	117404
CD19_S4	19	96060
CD19_S4	20	54423
CD19_S4	21	50654
CD19_S4	22	46870
CD19_S4	23	68799
CD19_S4	24	77970
CD19_S4	25	131764
CD19_S4	26	54404
CD19_S4	27	88160
CD19_S4	28	164498
CD19_S4	29	665308
CD19_S4	30	251755
CD19_S4	31	91694
CD19_S4	32	86466
CD19_S4	33	78054
CD19_S4	34	74454
CD19_S4	35	45904
CD19_S4	36	51532
CD19_S4	37	93046
CD19_S4	38	101337
CD19_S4	39	110145
CD19_S4	40	137074
CD19_S4	41	71844
CD19_S4	42	51498
CD19_S4	43	62681
CD19_S4	44	58287
CD19_S4	45	111097
CD19_S4	46	73972
CD19_S4	47	70296
CD19_S4	48	33513
CD19_S4	49	25520
CD19_S4	50	31118
CD19_S4	51	106870
CD19_S4	52	36344
CD19_S4	53	53929
CD19_S4	54	54937
CD19_S4	55	33543
CD19_S4	56	28907
CD19_S4	57	80151
CD19_S4	58	85897
CD19_S4	59	108619
CD19_S4	60	346934
CD19_S4	61	281675
CD19_S4	62	1430614
CD19_S4	63	2294336
CD19_S4	64	627439
CD19_S4	65	614702
CD19_S4	66	564667
CD19_S4	67	496304
CD19_S4	68	1319681
CD19_S4	69	1595808
CD19_S4	70	796006
CD19_S4	71	212979
CD19_S4	72	1620618
CD19_S4	73	303839
CD19_S4	74	355335
CD19_S4	75	432874
CD19_S4	76	472700
CD19_S4	77	317164
CD19_S4	78	186049
CD19_S4	79	148717
CD19_S4	80	49050
CD19_S4	81	26068
CD19_S4	82	24899
CD19_S4	83	27625
CD19_S4	84	39457
CD19_S4	85	11312
CD19_S4	86	10703
CD19_S4	87	20303
CD19_S4	88	25692
CD19_S4	89	108372
CD19_S4	90	34704
CD19_S4	91	50725
CD19_S4	92	35066
CD19_S4	93	15098
CD19_S4	94	24033
CD19_S4	95	32456
CD19_S4	96	14684
CD19_S4	97	11221
CD19_S4	98	15779
CD19_S4	99	13626
CD19_S4	100	551023
CD4_S1	11	2
CD4_S1	12	86
CD4_S1	13	6703
CD4_S1	14	34078
CD4_S1	15	82002
CD4_S1	16	121041
CD4_S1	17	166521
CD4_S1	18	176268
CD4_S1	19	131412
CD4_S1	20	82842
CD4_S1	21	79615
CD4_S1	22	80469
CD4_S1	23	125747
CD4_S1	24	137597
CD4_S1	25	148879
CD4_S1	26	104521
CD4_S1	27	133939
CD4_S1	28	234133
CD4_S1	29	1107745
CD4_S1	30	342909
CD4_S1	31	134911
CD4_S1	32	214245
CD4_S1	33	167210
CD4_S1	34	344576
CD4_S1	35	73458
CD4_S1	36	83606
CD4_S1	37	226760
CD4_S1	38	122639
CD4_S1	39	114275
CD4_S1	40	131412
CD4_S1	41	74670
CD4_S1	42	51882
CD4_S1	43	69705
CD4_S1	44	98202
CD4_S1	45	158337
CD4_S1	46	91231
CD4_S1	47	61901
CD4_S1	48	33195
CD4_S1	49	23287
CD4_S1	50	36039
CD4_S1	51	133202
CD4_S1	52	25504
CD4_S1	53	32524
CD4_S1	54	42963
CD4_S1	55	33073
CD4_S1	56	26380
CD4_S1	57	55191
CD4_S1	58	68590
CD4_S1	59	80670
CD4_S1	60	217677
CD4_S1	61	171688
CD4_S1	62	1070164
CD4_S1	63	2121511
CD4_S1	64	335743
CD4_S1	65	383915
CD4_S1	66	373677
CD4_S1	67	301124
CD4_S1	68	808730
CD4_S1	69	958194
CD4_S1	70	532706
CD4_S1	71	157232
CD4_S1	72	2100443
CD4_S1	73	104464
CD4_S1	74	64929
CD4_S1	75	78979
CD4_S1	76	139207
CD4_S1	77	149257
CD4_S1	78	60427
CD4_S1	79	73637
CD4_S1	80	21886
CD4_S1	81	11222
CD4_S1	82	12511
CD4_S1	83	12058
CD4_S1	84	15377
CD4_S1	85	12836
CD4_S1	86	7820
CD4_S1	87	12923
CD4_S1	88	10997
CD4_S1	89	29415
CD4_S1	90	18856
CD4_S1	91	25768
CD4_S1	92	11889
CD4_S1	93	7272
CD4_S1	94	9160
CD4_S1	95	10282
CD4_S1	96	7504
CD4_S1	97	4767
CD4_S1	98	3483
CD4_S1	99	3599
CD4_S1	100	633777
CD4_S2	12	84
CD4_S2	13	5661
CD4_S2	14	26284
CD4_S2	15	60818
CD4_S2	16	98924
CD4_S2	17	119221
CD4_S2	18	124537
CD4_S2	19	96893
CD4_S2	20	60031
CD4_S2	21	65842
CD4_S2	22	64843
CD4_S2	23	127663
CD4_S2	24	126537
CD4_S2	25	127759
CD4_S2	26	78842
CD4_S2	27	114216
CD4_S2	28	224278
CD4_S2	29	965544
CD4_S2	30	321954
CD4_S2	31	113156
CD4_S2	32	94789
CD4_S2	33	84441
CD4_S2	34	124245
CD4_S2	35	49642
CD4_S2	36	52556
CD4_S2	37	102181
CD4_S2	38	113768
CD4_S2	39	114740
CD4_S2	40	135847
CD4_S2	41	72019
CD4_S2	42	52347
CD4_S2	43	82854
CD4_S2	44	107379
CD4_S2	45	137837
CD4_S2	46	87365
CD4_S2	47	56034
CD4_S2	48	28959
CD4_S2	49	23305
CD4_S2	50	30852
CD4_S2	51	115685
CD4_S2	52	24695
CD4_S2	53	29468
CD4_S2	54	34667
CD4_S2	55	29695
CD4_S2	56	24259
CD4_S2	57	58869
CD4_S2	58	68925
CD4_S2	59	108161
CD4_S2	60	246060
CD4_S2	61	181363
CD4_S2	62	1051264
CD4_S2	63	2583802
CD4_S2	64	396899
CD4_S2	65	515934
CD4_S2	66	441761
CD4_S2	67	368121
CD4_S2	68	1244238
CD4_S2	69	1224614
CD4_S2	70	603455
CD4_S2	71	203982
CD4_S2	72	1879795
CD4_S2	73	101577
CD4_S2	74	74989
CD4_S2	75	97630
CD4_S2	76	174435
CD4_S2	77	220168
CD4_S2	78	91974
CD4_S2	79	95556
CD4_S2	80	30675
CD4_S2	81	18514
CD4_S2	82	17989
CD4_S2	83	18195
CD4_S2	84	26821
CD4_S2	85	15769
CD4_S2	86	10939
CD4_S2	87	20235
CD4_S2	88	12474
CD4_S2	89	28661
CD4_S2	90	21096
CD4_S2	91	23662
CD4_S2	92	16293
CD4_S2	93	9491
CD4_S2	94	12649
CD4_S2	95	13279
CD4_S2	96	7127
CD4_S2	97	4968
CD4_S2	98	4373
CD4_S2	99	4323
CD4_S2	100	772113
CD4_S3	11	2
CD4_S3	12	74
CD4_S3	13	5897
CD4_S3	14	25725
CD4_S3	15	59725
CD4_S3	16	100896
CD4_S3	17	136879
CD4_S3	18	154144
CD4_S3	19	129802
CD4_S3	20	69186
CD4_S3	21	63517
CD4_S3	22	57274
CD4_S3	23	96980
CD4_S3	24	101515
CD4_S3	25	101439
CD4_S3	26	60172
CD4_S3	27	90838
CD4_S3	28	197517
CD4_S3	29	847241
CD4_S3	30	282566
CD4_S3	31	98570
CD4_S3	32	79182
CD4_S3	33	54407
CD4_S3	34	47806
CD4_S3	35	35856
CD4_S3	36	45943
CD4_S3	37	69922
CD4_S3	38	110423
CD4_S3	39	110381
CD4_S3	40	128056
CD4_S3	41	67712
CD4_S3	42	47646
CD4_S3	43	70285
CD4_S3	44	88846
CD4_S3	45	145454
CD4_S3	46	84075
CD4_S3	47	61689
CD4_S3	48	29499
CD4_S3	49	23628
CD4_S3	50	35176
CD4_S3	51	119689
CD4_S3	52	26504
CD4_S3	53	33847
CD4_S3	54	40943
CD4_S3	55	32221
CD4_S3	56	26380
CD4_S3	57	66833
CD4_S3	58	81053
CD4_S3	59	117505
CD4_S3	60	272244
CD4_S3	61	207066
CD4_S3	62	1267471
CD4_S3	63	2871824
CD4_S3	64	464781
CD4_S3	65	590335
CD4_S3	66	531533
CD4_S3	67	446967
CD4_S3	68	1421653
CD4_S3	69	1483743
CD4_S3	70	794427
CD4_S3	71	209386
CD4_S3	72	1940817
CD4_S3	73	144549
CD4_S3	74	115589
CD4_S3	75	162607
CD4_S3	76	266877
CD4_S3	77	283857
CD4_S3	78	117392
CD4_S3	79	115994
CD4_S3	80	36756
CD4_S3	81	20927
CD4_S3	82	22671
CD4_S3	83	23003
CD4_S3	84	32770
CD4_S3	85	22285
CD4_S3	86	14367
CD4_S3	87	22203
CD4_S3	88	17476
CD4_S3	89	44029
CD4_S3	90	31531
CD4_S3	91	38129
CD4_S3	92	21914
CD4_S3	93	12235
CD4_S3	94	15500
CD4_S3	95	17781
CD4_S3	96	7924
CD4_S3	97	5403
CD4_S3	98	5733
CD4_S3	99	5396
CD4_S3	100	733181
CD4_S4	12	63
CD4_S4	13	4018
CD4_S4	14	20421
CD4_S4	15	51776
CD4_S4	16	81398
CD4_S4	17	123669
CD4_S4	18	157855
CD4_S4	19	132440
CD4_S4	20	67838
CD4_S4	21	57307
CD4_S4	22	49474
CD4_S4	23	84773
CD4_S4	24	90963
CD4_S4	25	100946
CD4_S4	26	71683
CD4_S4	27	89100
CD4_S4	28	187744
CD4_S4	29	818844
CD4_S4	30	276783
CD4_S4	31	101477
CD4_S4	32	94279
CD4_S4	33	123153
CD4_S4	34	89529
CD4_S4	35	49646
CD4_S4	36	51163
CD4_S4	37	141483
CD4_S4	38	121235
CD4_S4	39	134926
CD4_S4	40	168221
CD4_S4	41	68700
CD4_S4	42	54842
CD4_S4	43	75864
CD4_S4	44	87456
CD4_S4	45	83945
CD4_S4	46	97741
CD4_S4	47	63591
CD4_S4	48	30179
CD4_S4	49	22873
CD4_S4	50	20860
CD4_S4	51	66939
CD4_S4	52	21268
CD4_S4	53	31259
CD4_S4	54	37098
CD4_S4	55	24857
CD4_S4	56	19464
CD4_S4	57	38181
CD4_S4	58	69934
CD4_S4	59	59315
CD4_S4	60	272664
CD4_S4	61	185287
CD4_S4	62	1377337
CD4_S4	63	2647137
CD4_S4	64	940271
CD4_S4	65	432430
CD4_S4	66	570336
CD4_S4	67	409504
CD4_S4	68	902428
CD4_S4	69	1619628
CD4_S4	70	657261
CD4_S4	71	167079
CD4_S4	72	1824116
CD4_S4	73	277128
CD4_S4	74	238490
CD4_S4	75	253543
CD4_S4	76	494063
CD4_S4	77	197551
CD4_S4	78	118690
CD4_S4	79	91494
CD4_S4	80	28372
CD4_S4	81	11255
CD4_S4	82	11031
CD4_S4	83	13891
CD4_S4	84	15183
CD4_S4	85	7396
CD4_S4	86	6235
CD4_S4	87	7045
CD4_S4	88	14878
CD4_S4	89	114747
CD4_S4	90	27553
CD4_S4	91	28305
CD4_S4	92	20627
CD4_S4	93	8604
CD4_S4	94	18744
CD4_S4	95	25223
CD4_S4	96	4293
CD4_S4	97	5173
CD4_S4	98	11142
CD4_S4	99	6900
CD4_S4	100	497972
CD56_S1	12	134
CD56_S1	13	7466
CD56_S1	14	40558
CD56_S1	15	98453
CD56_S1	16	148033
CD56_S1	17	196379
CD56_S1	18	217719
CD56_S1	19	180149
CD56_S1	20	99574
CD56_S1	21	90817
CD56_S1	22	87300
CD56_S1	23	129217
CD56_S1	24	142984
CD56_S1	25	130086
CD56_S1	26	101331
CD56_S1	27	122957
CD56_S1	28	231818
CD56_S1	29	776465
CD56_S1	30	317585
CD56_S1	31	164272
CD56_S1	32	292003
CD56_S1	33	230980
CD56_S1	34	524756
CD56_S1	35	106580
CD56_S1	36	94198
CD56_S1	37	235252
CD56_S1	38	142628
CD56_S1	39	164319
CD56_S1	40	223071
CD56_S1	41	93663
CD56_S1	42	69188
CD56_S1	43	88045
CD56_S1	44	141847
CD56_S1	45	149729
CD56_S1	46	136113
CD56_S1	47	75648
CD56_S1	48	38342
CD56_S1	49	28565
CD56_S1	50	35286
CD56_S1	51	121848
CD56_S1	52	25654
CD56_S1	53	30800
CD56_S1	54	37389
CD56_S1	55	28323
CD56_S1	56	21457
CD56_S1	57	45106
CD56_S1	58	51782
CD56_S1	59	56382
CD56_S1	60	222430
CD56_S1	61	148545
CD56_S1	62	1003520
CD56_S1	63	2520566
CD56_S1	64	771750
CD56_S1	65	384785
CD56_S1	66	390257
CD56_S1	67	303940
CD56_S1	68	839938
CD56_S1	69	941924
CD56_S1	70	398760
CD56_S1	71	120337
CD56_S1	72	1438862
CD56_S1	73	86354
CD56_S1	74	50451
CD56_S1	75	61914
CD56_S1	76	126986
CD56_S1	77	161149
CD56_S1	78	60135
CD56_S1	79	80104
CD56_S1	80	19047
CD56_S1	81	7672
CD56_S1	82	7673
CD56_S1	83	6445
CD56_S1	84	8955
CD56_S1	85	7376
CD56_S1	86	4341
CD56_S1	87	13380
CD56_S1	88	5889
CD56_S1	89	18366
CD56_S1	90	10230
CD56_S1	91	7906
CD56_S1	92	5587
CD56_S1	93	2941
CD56_S1	94	3314
CD56_S1	95	3926
CD56_S1	96	2383
CD56_S1	97	2059
CD56_S1	98	2018
CD56_S1	99	1773
