CD4_S2	CD14_S1	CD19_S2	CD4_S3	CD4_S4	CD14_S3	CD56_S4	CD56_S1	CD14_S2	CD56_S2	CD19_S1	CD56_S3	CD14_S4	CD19_S3	CD4_S1	CD19_S4
hsa-mir-7851	499.076830031365	596.343938690394	433.071022750031	552.247603844397	719.293827833851	977.934634903503	606.543928915539	647.7592725915	644.780213698174	455.38113459237	488.036389062057	672.501363620103	945.658916958927	596.141575520952	554.794466098889	563.289671958124
hsa-mir-3960	381.306282132281	922.025272390039	442.162208342112	441.962687428377	430.275248432911	289.654543644094	470.656490835055	1028.92374251779	976.425538925703	633.257282070508	485.948532852166	496.323098272901	261.300490212335	334.92552724496	1956.26612654451	581.682804103695
hsa-mir-4667	409.300920567309	348.20577968114	425.632779992874	640.310932624353	799.215364259835	931.461706739305	721.733280400982	365.741630102683	976.425538925703	496.324493346929	298.041473961962	934.139235292441	1006.49077711418	374.366564237127	421.527910273568	448.332596048302
hsa-mir-320a	1064.7615928909	139.208461229894	1256.23655454208	678.169933782091	527.853868487891	438.287788031312	659.639020615861	470.947430328004	406.201251053873	785.20263567076	843.493908796026	581.12532301092	565.459790988598	593.555278013269	698.925143323012	931.152314869551
hsa-mir-205	1336.01998600272	106.714178502491	1393.43080984075	776.93254549793	567.814636700883	215.137607104949	829.723297418586	564.035284977632	162.480500421549	538.177704518255	1038.70846442085	462.796637329964	388.494379627863	993.784817327227	754.694299836869	1057.60509837035
hsa-mir-933	154.453177572569	2663.42342400855	134.714841046288	64.195697615295	88.2854181449817	109.371632662293	82.7923463801626	1405.13087107221	1010.36133964666	408.978661337203	126.315300698415	89.4038958478339	81.5699942990887	87.934115261225	1180.56785866996	91.9656607278569
hsa-mir-375	228.783769279368	2081.11110740499	264.470853587805	89.7093723085533	140.327348840971	108.570375280151	233.978370204807	1317.55117350244	771.782377002359	577.756284647662	337.188777897421	249.147621517125	87.5610108295303	148.712106691778	1029.91870860655	317.281529511106
hsa-mir-4652	615.88204557062	803.494991077583	599.191777659872	445.254774485572	581.75443956588	559.277652734654	569.647339767858	366.292445810669	900.841255501755	548.186081102703	282.904516440251	452.935913523217	688.506053575359	519.845799044301	507.716606704074	613.870785358445
hsa-mir-9899	449.844879680108	629.207474630607	438.856322672265	334.969858069552	355.929633152926	379.395370443923	377.065142753132	1003.03540424245	844.795766432296	641.44595382142	438.971768129615	370.105833546548	367.295398058609	314.235147183495	1666.55622257643	390.854058093392
hsa-mir-3648-1	500.042162391193	474.121125249824	627.291805853576	525.087885622542	513.914065622894	385.004172118913	551.649003598257	691.273713522391	628.326492136498	644.175511071724	621.137222442618	514.729782712161	407.389124070025	451.95548946762	1130.59290023546	813.896097441534
