CD4_S2	CD56_S2	CD4_S3	CD56_S3	CD19_S3	CD19_S2	CD56_S1	CD14_S3	CD14_S1	CD14_S2	CD19_S1	CD14_S4	CD4_S1	CD4_S4	CD56_S4	CD19_S4
hsa-miR-1260a	874.703925091885	2167.1589293414	1122.68596399266	1813.2880362164	1349.73688476105	1630.72076470305	1958.36640442249	2155.94193022264	990.025735490455	1568.70886436237	1325.91645864266	2641.00181414086	1686.54400826373	1472.33208712041	1791.79484784274	1615.53677908948
hsa-miR-27b-3p	2005.96119211764	2060.67892036478	1745.14194823239	1902.49739687521	1621.05748799494	1047.94633044574	2146.77884600758	1551.4912804366	1318.65068823365	1480.8829745105	1493.60323706201	1414.65441738452	1860.77376118354	1301.89620011714	2374.90827599391	924.093807557188
hsa-miR-186-5p	1585.28916821137	2781.34934817427	1311.07446202791	2524.72439663764	1223.54461698098	1477.4833295907	3087.7180658706	1282.09334751103	673.396818031179	1181.533526232	1510.42271197584	1470.4880300245	909.684286421298	1448.3609563104	2564.57403793533	766.302641769739
hsa-miR-192-5p	3239.68093935848	2083.60501003253	2507.85109283303	2577.70281806978	1353.42291320136	905.332964017152	1644.92795855379	548.940359542175	247.682846156201	446.162062413264	649.63810824864	461.222161897124	2188.73564903259	1855.29670805171	2881.49735363598	881.781820031676
hsa-miR-24-3p	1220.41551046872	992.685383597107	1146.37610076964	1212.03684337468	483.520201287894	576.13439132996	1208.8966492034	1717.35849270241	1522.20970910679	1857.20955281435	219.49979174448	1949.69425942211	773.744083907867	1596.4314341847	1353.66375366582	752.111852107337
hsa-miR-28-3p	1005.46272978496	1334.24122259729	845.011133722259	1577.57966042365	1275.65494061754	814.290597657673	1307.09571644013	1190.84030846796	653.140536998126	948.257931771299	1169.9694479484	1526.81966299525	881.233592650393	1131.91909073704	1679.29025486127	1022.51800007807
hsa-miR-361-3p	1604.74909662431	1585.18896085238	1171.67074880243	1187.16434504973	1738.43219754525	1852.49819847663	1196.85572164514	367.003131569561	86.3797557987354	278.142576054799	2350.83204575709	426.914094665424	827.693814459036	1311.98930782662	1939.43059202882	1817.85317482686
hsa-miR-7-5p	988.782791145299	808.275735105379	658.227146942816	1346.18251767389	602.990887794454	531.646103716698	1096.66023118632	1300.24914696739	1911.64501372175	1607.96065870958	439.507554207833	1681.48264349945	443.814424731725	1430.92740663038	1408.11173121252	764.219590076176
hsa-miR-3529-3p	988.782791145299	808.275735105379	658.227146942816	1346.18251767389	602.990887794454	531.646103716698	1096.66023118632	1300.24914696739	1911.64501372175	1607.96065870958	439.507554207833	1681.48264349945	443.814424731725	1430.92740663038	1408.11173121252	764.219590076176
hsa-miR-98-5p	229.547726993466	590.215734627309	339.023790051419	878.745365820386	373.011623146012	266.339499641587	629.372420765024	2030.88971360154	2107.35887657184	2504.15544658979	259.79880210847	1637.54618320595	399.539569872103	843.577354582116	834.232170598506	379.11540822859
